fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol,quality,type,pH_bin_5,pH_bin_10
7.4,0.7,0.0,3.51,0.56,9.4,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.8,0.88,0.0,3.2,0.68,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.76,0.04,3.26,0.65,9.8,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
11.2,0.28,0.56,3.16,0.58,9.8,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.66,0.0,3.51,0.56,9.4,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.9,0.6,0.06,3.3,0.46,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.65,0.0,3.39,0.47,10.0,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.58,0.02,3.36,0.57,9.5,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.5,0.36,3.35,0.8,10.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.58,0.08,3.28,0.54,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.6,0.615,0.0,3.58,0.52,9.9,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.8,0.61,0.29,3.26,1.56,9.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.9,0.62,0.18,3.16,0.88,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.62,0.19,3.17,0.93,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.5,0.28,0.56,3.3,0.75,10.5,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.56,0.28,3.11,1.28,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.59,0.08,3.38,0.5,9.0,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.32,0.51,3.04,1.08,9.2,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
8.9,0.22,0.48,3.39,0.53,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.6,0.39,0.31,3.52,0.65,9.7,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.9,0.43,0.21,3.17,0.91,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.5,0.49,0.11,3.17,0.53,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.4,0.14,3.43,0.63,9.7,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.3,0.39,0.16,3.34,0.56,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.41,0.24,3.28,0.59,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.71,0.0,3.47,0.55,9.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.645,0.0,3.38,0.59,9.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.7,0.675,0.07,3.35,0.54,10.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.685,0.0,3.46,0.57,10.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.3,0.655,0.12,3.17,0.66,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.605,0.12,3.45,0.52,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
5.2,0.32,0.25,3.38,0.55,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.645,0.0,3.4,0.55,9.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.6,0.14,3.42,0.6,10.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.1,0.38,0.28,3.23,0.73,9.7,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.7,1.13,0.09,3.5,0.48,9.8,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.3,0.45,0.36,3.33,0.83,10.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.8,0.61,0.3,3.26,0.51,9.3,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.49,0.2,3.21,0.9,10.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.1,0.66,0.22,3.3,1.2,10.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.67,0.02,3.48,0.52,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
4.6,0.52,0.15,3.9,0.56,13.1,4,Red,"(3.752, 4.01]","(3.881, 4.01]"
7.7,0.935,0.43,3.25,0.73,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.7,0.29,0.52,3.25,0.58,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.4,0.4,0.23,3.34,0.56,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.6,0.31,0.37,3.32,0.58,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.8,0.66,0.26,3.15,0.74,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.52,0.04,3.4,0.63,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.6,0.5,0.04,3.39,0.64,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.6,0.38,0.36,3.2,0.56,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.51,0.15,3.17,0.63,10.2,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.62,0.04,3.34,0.53,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.2,0.42,0.57,3.04,0.63,9.6,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.5,0.63,0.12,3.26,0.77,9.4,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.59,0.18,3.43,0.59,10.0,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.39,0.31,3.41,0.54,9.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.8,0.4,0.4,3.44,0.64,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.7,0.69,0.49,3.21,0.71,9.3,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.52,0.16,3.38,0.62,9.5,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.735,0.05,3.39,0.57,9.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.2,0.725,0.05,3.41,0.39,10.9,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.52,0.11,3.42,0.58,9.6,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.6,0.705,0.07,3.44,0.58,10.7,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.3,0.32,0.57,3.28,0.79,10.7,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.705,0.05,3.34,0.95,10.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.63,0.08,3.32,0.54,9.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.67,0.23,3.32,0.48,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.69,0.22,3.31,0.48,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.3,0.675,0.26,3.31,0.53,9.2,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.7,0.32,0.54,3.28,0.82,9.6,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.8,0.41,0.64,3.54,0.66,10.5,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.8,0.785,0.0,3.52,0.55,10.7,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.7,0.75,0.12,3.38,0.52,10.1,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.3,0.625,0.2,3.16,1.12,9.1,4,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.2,0.45,0.2,3.41,0.56,9.2,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.43,0.7,3.13,1.28,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.5,0.47,3.36,0.57,9.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.67,0.26,3.16,1.14,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.3,0.3,0.48,3.44,0.78,10.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.9,0.55,0.15,3.41,0.59,10.1,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.6,0.49,0.28,2.93,1.95,9.9,6,Red,"(2.719, 2.978]","(2.849, 2.978]"
7.7,0.49,0.26,3.39,0.64,9.6,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.3,0.39,0.44,3.14,1.22,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.0,0.62,0.08,3.48,0.53,9.0,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.52,0.26,3.23,0.54,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
